comentario;nota;data
Lugar maravilhoso, agradável. Estacionamento gratuito e com banheiros limpos. Vale a visitação......;5.0;jan de 2023
Ótimo lugar para passeio. Possui estacionamento próximo. Também tem uma loja com lembrancinhas e alimentação. O Jardim é bonito, mas quando visitamos estava em reforma então não deu pra ver muito bem. Possui uma pista para caminhada dentro do parque.;4.0;abr de 2022
Meu lugar favorito em Curitiba.  Com diversas possibilidades de passeios, é um ótimo local para todas a família. E, agora ainda melhor com os locais de alimentação melhorados.;5.0;jan de 2023
Além de ser o clássico da cidade, é um bonito lugar para apreciar a flora local e fotografar. Em dia quente, é bom se precaver.;5.0;jan de 2023
Toda visita que chega em Curitiba quer conhecer o  Jardim Botânico, cartão postal da cidade, ótimo para caminhadas e fotos. seja romântica ou em família.;3.0;mar de 2022
Boa estrutura, mas esperava mais!Estavam trocando as flores do jardins da entrada, bem numa época de férias onde se tem um grande número de visitantes, aí meio que fica a desejar. Esperava um lugar bem mais florido!;4.0;jan de 2023
Local com uma paisagem maravilhosa.Além disso, é um ótimo espaço para fazer pequinique ou ficar sentado ao ar livre.Se você é turista não pode deixar de passar por esse ponto turístico. ;5.0;nov de 2022
Excelente local para passear com a família e para conhecer a estufa com uma variedade de plantas, além de outras plantas ao redor do Jardim Botânico.;5.0;jan de 2023
Local lindo, vale a pena a visita. Tem bastante área verde, jardins muito bem cuidados local agradável para passar algumas horas. Tem vários estacionamentos em volta.;4.0;jan de 2023
Maravilhoso. Reserve umas 2 horas para andar tranquilamente pelo Jardim Botânico e não esqueça de sua garrafa de água porque está muito calor.;5.0;dez de 2022
O local é bem cuidado, só o estacionamento é muito ruim e com poucas vagas. Vale a pena conhecer, quando estiver em Curitiba, o jardim é muito lindo.;5.0;jan de 2023
Lugar LINDO! LIMPO DEMAISSSS.. muito bem organizado... vale a pena ir la e conhecer... um local publico tao preservado em sua qualidade.   curitiba sendo curitiba.. linda como sempre.;5.0;jan de 2023
Achei bem limpo e grande! A estrutura  de vidro é imponente como nas fotos e propagandas. Cheia de variedades de plantas! Muito bacana! O jardim externo nem cuidado e a exposição  das 4 estações, bonita mas não cumpriu a proposta. Ao contrário  do JARDIM SAS SENSAÇÕES, foi incrível. O estacionamento não é cobrado e tudo muiuuuito limpo. Valeu! ;4.0;jan de 2023
Superou as expectativas, tudo muito limpo, organizado, bem cuidado. Simplesmente adorei, parabéns aos administradores.;5.0;jan de 2023
Lugar lindo, muito conservado e bom para vir com a família. Infelizmente, não aceita pets nem no colo e isso nos atrapalhou no passeio;5.0;jan de 2023
O jardim é lindo, bem cuidado e rende fotos lindas e ser gratuito é o melhor. Porém o estacionamento é minúsculo e os estacionamentos ao redor cobram 30 reais. Como está sempre cheio é difícil conseguir uma foto boa e o jardim das sensações é tanta gente que não dá pra ouvir ou poder aproveitar o ambiente ;3.0;jan de 2023
O lugar é extremamente espetacular, a estufa com suas mais diversas espécies, no entanto a comida no local é realmente cara, quando forem e pretenderem comer no local, estejam preparados para os preços salgados, felizmente a comida é boa!;5.0;jan de 2023
Lugar maravilhoso, tem mirante na chegada para fazer fotos. Os Jardins ao redor são impecáveis. Com certeza vale a pena fazer a visita nesse belíssimo lugar.;4.0;jan de 2023
Acesso fácil, extremamente conservado. Estava cheio de visitantes, mas valeu a pena enfrentar a multidão.;4.0;jan de 2023
Lugar exuberante! PerfeitoConfesso que conhecia por fotos. Porém a sensação de estar presencialmente não tem preço. Vale muito a pena! Local seguro, limpo,Pessoas educadas.;5.0;jan de 2023
O conjunto da obra é muito bonito! Há mais para explorar do que a famosa estufa. Ao redor também há exposições de arte e flores, além de outros jardins. Não é cobrado nenhum valor para visita.;5.0;dez de 2022
Limpo e bem conservado, a experiência é espetacular, a riqueza e conservação faz toda a diferença para os visitantes.;5.0;dez de 2022
Famoso ponto turístico de Curitiba, lugar muito bonito, vale a pena dar uma passada e contemplar o lugar se estiver na região.;4.0;jan de 2022
Meu parque preferido, o passeio é obrigatório para quem visita a cidade, local limpo, seguro, gratuito, perfeito para passar as tardes lendo. Super recomendo!;5.0;jun de 2022
Lindo demais, passeio imperdível em Curitiba, fácil acesso, gratuito, seguro, vale a pena conhecer, recomendo, da para ir de Uber ou ônibus turístico, possui estacionamento pago;5.0;dez de 2022
Local belíssimo para quem vai até Curitiba não pode deixar de visitar, local limpo agradável e o pessoal super atenciosos. ;5.0;dez de 2022
Dos parques de Curitiba foi o que mais gostei. Entrada grátis e cenário bonito para passar umas horas e tirar fotos. Recomendo. ;5.0;dez de 2022
Ah o que falar desse lugar? Delícia de passeio! Coisas belas para se ver!!! Horas maravilhosas passei lá nas duas vezes que vim a Curitiba!!!;5.0;dez de 2022
ótimo lugar para passear e tirar lindas fotos.  Só não vão ao local de salto alto porque para entrar na estufa que é toda gradeada não dá.;5.0;dez de 2022
É bonito, para um parque. Pouca coisa pra fazer, lanchonete com staff desagradável. Mas o mais surpreendente: não é um jardim botanico. As plantas são estilo cerca canteiro...;3.0;dez de 2022
Parece estar em uma cena de filme e um jardim de uma cidade Europeia, cuidado especial com a jardinagem;5.0;dez de 2022
Espetáculo de lugar para lindas fotos de recordação. Maravilhoso e vale demais a visita, espaçoso, lindo!;5.0;nov de 2022
Excelente local para passar a tarde com a família. Local agradável que você pode sentir a natureza, praticar esportes e apreciar a paisagem.;5.0;nov de 2022
Inaugurado em 1991, o jardim botânico de Curitiba junto com o seu palácio de vidro( ou estufa de vidro, para alguns), é o grande cartão postal da cidade. Se tornou conhecido no Brasil e no resto do mundo, ao longo dos anos. Apesar da estufa estar com reformas ao redor, não permitir mais a entrada de turistas e com vidros sujos, precisando de uma boa limpeza, ela não deixa de ser linda, uma grande atração bem fotogênica. O bosque está muito bem cuidado, com lindos jardins, fontes, trilhas. Indo em Curitiba, não deixe de ir.;5.0;nov de 2022
Lugar bem legal, jardins muito bonitos e bem cuidados. A estufa está fechada para reforma, mas ainda sim é possível curti-la pelo lado de fora. O tal Jardim das Sensações não tem nada demais. Não crie expectativas.É um passeio bom, com duas horas dá para conhecer todo o parque.;4.0;nov de 2022
Lugar excelente para passar um turno. O jardim das sensações é muito agradável, assim como o jardim das 4 estações. No local há um café com comida excelente por um ótimo custo benefício.;5.0;nov de 2022
ícone e talvez o principal cartão postal de Curitiba, o Jardim Botânico tem vários encantos. O lugar realmente é muito bonito e traz uma sensação bem legal de paz e contato com a natureza.;5.0;jun de 2022
Lugar bonito, bem florido, vale belas fotos. Parque gratuito e pequeno, mas vale a visita. Possui um café escola do Senac bem legal e com lindas plantas e histórias. Tem um caminho que é sensorial, vale conhecer . Se for de carro o estacionamento é pago por um aplicativo. ;4.0;nov de 2022
Bonito para conhecer, mas é algo pra passear sem muito expectativa.Porém vou voltar e dar uma segunda chance para ter uma melhor percepção. ;4.0;dez de 2022
Vale a pena a experiencia , jardim maravilhosos , otimo para fotografias . Passeio inesquecivel, vale conferir;5.0;nov de 2022
Lugar maravilhoso, muito arborizado, limpo e com manutenções em dia,no dia em que fui estavam fazendo algumas reformas, mas tudo muito organizado e identificado, indo para Curitiba é passagem obrigatória para dar uma renovada na alma...lugar sensacional, voltarei em breve!;5.0;out de 2022
O Jardim botânico é um ótimo lugar para visitar com amigos e família, cartão postal de Curitiba muito bonito mesmo!!! É a cara da nossa linda cidade!!!;5.0;nov de 2022
O lugar é bem bonito. Porém a estrutura em si da estufa estava fechada para a reforma. Atrás dessa estrutura tinha uma meia lua que formava um tudo de caminhos das estações do ano. Tinham várias flores e foi bonito. Não tinham muitos bancos em áreas com sombra. O espaço estava em reforma no dia da visita.;3.0;nov de 2022
Tanto durante o dia quanto à noite, lugar lindo, imperdível.Para ficar melhor, tomamos um café da manhã no café escola que fica atrás da estufa. Super recomendo!! Ótimo custo benefício!;5.0;nov de 2022
"Fui pelo ""palácio"" mas o jardim das sensações é o ponto alto. Como o Jardim estava reformando a parte elétrica, o jardim estava muito sofrido e o parque uma pouco sujo. Falta sinalização, mas nada que atrapalhe o passeio. Espero poder voltar com tudo em pleno funcionamento. ";4.0;nov de 2022
Muito bem cuidado e diverso, com plantas de todas as regiões do país. Quando fui, tinha uma exposição de plantas amazônicas. Mas me parece que mais da metade das pessoas que vão ali é para tirar foto da sua estufa futurista. O espaço diante dela tem até um pequeno portal para se deixar a foto sob medida. Mas vale a visita!;4.0;out de 2022
Lugar lindo demais, mas infelizmente estava com várias partes em manutenção quando eu estive lá.Rende várias fotos maravilhosas.;4.0;out de 2022
Esperava mais. O parque está em reforma e a estuda principal fechada. Por ser um ponto turístico famoso esperava mais.;2.0;out de 2022
Muito bonito, acessível e bem cuidado o espaço. Ponto negativo para a própria estufa que é o slogan do local não ser tão grande e estar fechada. Parte de disponibilidade de buffet, lanches e bebidas é meio limitado, alem de muito ambulante pedindo dinheirodentro e ao redor do parque. Vale o passeio, ainda mais em dias de sol e se está tudo florido.;4.0;out de 2022
O jardim é MT Grande e tem estufas com várias plantas, pena que a estufa maior estava sendo reformada. Mas fora isso é tudo muito legal;5.0;out de 2022
Parque está em reforma , não tem as flores no caminho para estufa o estacionamento da entrada fechado e a estufa fechada para reforma , sou de Curitiba e não sabia imagina os turista de outros estados;2.0;out de 2022
Um lindo local para caminhada.Out 2022 -parque passa por reforma, estufa e estacionamento do parque fechados.Peca por não poder passear com os pets.É possível fazer piquenique no gramado.;4.0;out de 2022
Excelente lugar para relaxar em um dia de sol. É um imenso espaço verde. NÃO é pet-friendly. O estacionamento pago (zona azul de Curitiba: Urbe) é espaçoso, mas exige uma caminhada (˜10 min) e você chega por trás da estufa. Em Out/2022 a estufa está FECHADA (mas o passeio vale de qualquer maneira);4.0;out de 2022
Belo lugar para visitação em Curitiba, gratuito e bem cuidado. Com estacionamento. Cartão postal da cidade;5.0;jul de 2022
A melhor atração de Curitiba sem dúvida ! Muito bem cuidado, estufa maravilhosa e apoio para os visitantes como banheiros e lanchonete.;5.0;out de 2022
Ótima experiência, vale muito a pena conhecer todos que forem à curitiba, tudo muito lindo e gratuito para entrar no jardim !;5.0;out de 2022
Muito bonito e bem cuidado. Além da famosa estufa, o jardim conta com outros espaços destinados a cultivação de flores e outras espécies de plantas. Possui um lago, lojinha, restaurante e vários lugares lindos para tirar foto.Vale muito a pena passear e descansar nesse local!;5.0;out de 2022
Voltamos para visitar o Belo Jardim Botânico, com as flores da época e ainda mais bonito de quando fui em 2018. Ponto turistico obrigatório para visitar em Curitiba ;5.0;mar de 2022
Otimo passeio pra levar a familia... andar um pouco, tirar umas fotos e aproveitar um bom cafe atras da estufa principal. imperdivel;5.0;out de 2022
O local é lindo, amplo, a estufa é quase um daqueles pontos clichês para fotos mas, esperava mais diversidade de plantas. A estufa em si é bem pequena, para não dizer minúscula. O tempo médio de visita não chega nem a uma hora porque não há muito para se ver.;3.0;set de 2022
E um lugar belíssimo,  bom para passear , fotos, a primavera é florido mas e sempre  um charme , a estufa , vale a pena conhecer;5.0;set de 2022
Lugar lindo e muito bom cuidadoPonto turístico obrigatório a quem visita Curitiba e vale mesmo a pena!Tire muitas fotos!;5.0;set de 2022
O novo boulevard atrás da grande estufa é muito bonita com uma cobertura de vidro,jardim impecável ,exposição de gravuras com flores da Amazônia ao som das 4 estações de Vivaldi!!!!❤;5.0;ago de 2022
Esperava mais do jardim botânico, sempre em obras e coisas inacabadas. Fui na expectativa de conhecer a estufa e, como sempre, estava fechada. Não encontrei os nomes da plantas para identificação, enfim, muito fraco perto de outros que conheci;3.0;set de 2022
Lindo, muito agradável! Muitas flores. Com estrutura de restaurante e sanitários. Se estiver chovendo fica um pouco ruim, pois os jardins tem alamedas que valem sem percorridas a céu aberto.;5.0;set de 2022
O espaço é muito bonito, como estava em manutenção não foi possível entrar no castelo de vidro. O meu intuito era entrar l, mas não foi possível.;4.0;set de 2022
Um dos principais pontos turísticos de Curitiba, é praticamente obrigatória uma visita por lá. Faz parte do roteiro do ônibus turístico e tem entrada gratuita.   O jardim é lindo e a estufa muito interessante.    No momento passa por uma reforma com plantio de flores no canteiro central, reforma do piso e a estufa fechada, porém é possível dar uma olhada por fora. Mesmo assim vale a pena.;3.0;set de 2022
Fomos em Set/22. Um pouco decepcionado, o Botânico de SP é mais bonito, rs. Mas colocando o que aconteceu, acho que está em reforma, jardim sendo plantado.A estufa é monótona, sem vida, flores oi plantas com descrições.Tem potencial para ser muito melhor.;2.0;set de 2022
Lugar muito agradavel e bem cuidado, um verdadeiro deleite aos olhos, lindos jardins e a estufa famosa nas fotos uma grata surpresa. O jardim sensorial tb é maravilhoso.;5.0;jul de 2022
O jardim é lindíssimo, ficamos apaixonados, mas aparenta estar precisando de reparos estruturais. Ótimo para fotos.;5.0;set de 2022
Achei muito bonito o jardim, porém podia ser mas bem cuidada a parte fechada onde tem o jardim fechado, em que há exposições de plantas, pois achei bem sujo onde é transparente, acaba estragando as fotos de perto. As de longe ficam muito boas, legal pra turistar. Também o parque é pra quem gosta de caminhar, pois quase não há bancos para sentar e o povo não senta na grama. Também poderiam ter mais opções de comidas e lanches e bebidas no parque, neste quesito achei escasso.;5.0;ago de 2022
Jardins super bem conservados  arquitetura moderna  e exótica ao mesmo tempo  estufas  espaço das quatro estações , centro de atendimento ao turista ,jardins estilo francês pista de caminhada local para contemplar a natureza.;4.0;ago de 2022
passe horas agradaveislical lindoamplonaturezesotimas caminhadasotimos momentos   em familiauma visita impredivel;5.0;ago de 2022
O parque é lindo, bem cuidado, acolhedor. Vale muito a visita. Pena que a estufa, que eu queria tanto conhecer, estava fechada pra manutenção.;4.0;ago de 2022
O lugar é lindo em todas as estações e sempre que volto a visitar eu gosto muito e repito as mesmas fotos. Alde um ponto turístico de Ctba;1.0;nov de 2021
Parque bem cuidado! Lugar lindo pra passar varias horas, fazer pic nic, ler um livro. Se morasse aqui seria um lugar pra frequentar;5.0;ago de 2022
Lugar muito lindo, bom para conhecer as variedades de flores que temos e curtir uma tarde agradável com a família e amigos. Podendo até usar o gramado e a sombra das árvores para fazer um piquenique;5.0;jul de 2022
O Jardim é lindo, é uma delícia passear pela estufa, a galeria das estações e o jardim das sensações são os meus preferidos. ;5.0;ago de 2022
Escultural, magnifico, tudo limpo, organizado, fotos fantasticas.  A cidade de curitiba me surpreendeu ;5.0;jul de 2022
Jardim muito bonito, porém a parte que dá acesso às plantas internas estava fechado e o banheiro de dentro da lanchonete também. Mas o outro banheiro apesar de muito longe, estava bem organizado.;4.0;set de 2021
É um lugar lindo, muito agradável de se estar e visitar. Neste mês, estão ocorrendo reformas, então não foi possível acessar todos os espaços. De qualquer forma, é um ponto a ser visitado em Curitiba, mesmo que não seja em final de semana. Tem uma conveniência na entrada do Jardim, e um café no interior, onde fica também o Jardim das Quatro Estações. Foi uma visita muito agradável!;5.0;ago de 2022
Lindo parque, muito bonito e amplo, bem organizado. Entramos nas exposições atrás do jardim, onde constavam belas obras e uma história legal. Ótima experiência.;5.0;jul de 2022
Lugar imperdível em Curitiba, sobretudo em dia de sol. Em que a pessoa poderá desfrutar do máximo que os jardins tem a oferecer.Neste mês de agosto, além dos ambientes externos, há uma exposição de jardins 4 estações, com fundo musical de Vivaldi, e posts da famosa Margaret Meed, sobre expedição à Amazônia e as ilustrações botânicas que fez de espécies de lá. Imperdível.;5.0;ago de 2022
Jardim muito bonito, rende muitas fotos bonitas. Fomos com o ônibus de turismo. No mês de julho as cerejeiras estavam maravilhosas.;5.0;jul de 2022
Lugar lindo, acessível, em ótimo estado. Bem cuidado. Possui banheiros públicos, 1 café-escola e 1 lanchonete privada.;5.0;ago de 2022
A cinco minutos de carro da rodoviária Estacionamento no local, porém em dias cheios existe estacionamento no entorno. Excelente para piqueniques, ir com a galera e/ou casal. Aconselho chegar cedo antes das 10h que é quando costuma estar mais cheio! De lá da pra esticar para outros pontos turísticos. Como parque Tanguá e opera de arame.;4.0;ago de 2022
Lugar lindo, muito bem cuidado,um passeio em família inesquecível banheiros limpo,tem estacionamento no local,entrada gratuita.;5.0;jul de 2022
Acho que fui com expectativa muito alta, pensei que passaria um bom tempo conhecendo, mais em 2 horas no máximo você conhece todo o espaço. Pequeno e sempre muito movimentado, então são poucos os lugares que você pode sentar e ficar mais a vontade. ;3.0;mar de 2022
Local bastante prazeroso, entretanto, ficamos tristes em ver o calçamento que fizeram em concreto. Entendemos que por se tratar de um Jardim Botânico poderia ter sido utilizado material permeável.;4.0;ago de 2022
É uma opção de lazer excelente. vale a pena o passeio. Jardins floridos e extremamente belos e bem cuidados e limpos.;5.0;jul de 2022
Por do Sol maravilhoso, parque muito bem cuidado e preservado. As exposições são lindas e é possível fazer até piquenique!;5.0;jul de 2022
Parque muito lindo! Muito bem cuidado! Fotos excelentes! Quem vier de carro no final de semana tem que vir com paciência porque não é tão Fácil conseguir estacionar.;5.0;jul de 2022
Lindo jardim!Jardin muito bem cuidado . A parte da estufa também é bem agradável. O café  do Senac tinha muitas opções e o atendimento foi bom.;5.0;jul de 2022
Vale a pena visitar esse lugar e caminhar tanto internamente quanto pelos jardins. Boa pedida. Recomendo;4.0;jul de 2022
O local é muito legal e agradável para curtir com a família. Poderia ser muito melhor se o restaurante atendesse bem, se a comida fosse fresca e o local muito sujo. Sem contar o atendimento que foi muito ruim, para não dizer péssimo.;3.0;jul de 2022
"O lugar é lindo. Jardins bem cuidados, espaço harmonioso tanto interna como externamente. O ""Palácio de Cristal"" (estufa) é muito bonito e a sensação que se tem quando o sol bate é maravilhosa. Não deixe de conhecer.";5.0;mai de 2022
Lugar espetacular. Vale a visita. Podemos fazer piquenique, ler um livro ou apenas apreciar as belezas naturais e bem conservadas nesse lindo lugar.Entrada gratuita. Local bem cuidado. Flores maravilhosas e um verde perfeito.;5.0;jul de 2022
Um passeio imperdível, muito bem cuidado, lindíssimo, um show de cores, com uma excelente estrutura e melhor, entrada gratuita. Fizemos a visita com o pessoal do Citytur, infelizmente foi um tempo limitado, muito corrido.  Sugiro ir com tempo livre pois vale a pena.;4.0;jul de 2022
O parque é lindo, muito bem cuidado.  Já visitei umas 3 ou 4 vezes. Apenas o banheiro próximo ao jardim precisa ser melhorado, não condiz com a estrutura geral.;5.0;mai de 2022
Como eu adoro ficar sozinha e passear por entre a natureza, o Jardim Botânico é uma delícia: muito bem cuidado, com lagos, ponte e a belíssica estufa. O Jardim das Quatro Estações é maravilhoso, fica tocando as Quatro Estações do Vivaldi, o que achei um charme incrível. Lá, tem um café também, mas achei tudo um absurdo de caro e extremamente pequeno. Tomei um tchai que nem estava tão gostoso assim. Mas o jardim em si é maravilhoso de caminhar. Há também o Jardim dos Sentidos, com várias plantinhas lindas identificadas. Adorei.;5.0;mai de 2022
Lindo local!! Muito bem cuidado pela prefeitura!Principal cartão postal.Rende lindas fotos!Porém, estacionamento pequeno.;5.0;jul de 2022
Um lugar lindo, incrível e com jardins lindos. Fomos na epoca das cerejeiras em flor, oque torna tudo ainda mais lindo. O único problema que achei foi o descaso com a própria estufa, que está muito suja, cheia de pó. Mas no geral, é uma graça!;4.0;jul de 2022
O Jardim Botânico está lindo, muito bem conservado. Vale a visita, especialmente em um dia de sol. Acho que mesmo nublado será bonito, só evite com chuva.O espaço é bem amplo.Além da estufa, atrás há um espaço com plantas e um café pequeno.Muito bom para todas as idades. Possui acessos pavimentada, mas a estufa não tem acessibilidade para pessoas com mobilidade reduzida.;5.0;jul de 2022
Visita obrigatória quando visitar Curitiba. Desta vez, fomos duas vezes, sendo que uma delas à noite. A cafeteria, sob gestão do Senac, tem um ótimo custo benefício e tudo o que experimentamos estava delicioso.Quanto à Estufa e aos jardins, perfeitos para fotografar, caminhar e contemplar o dia.;5.0;jul de 2022
O lugar é maravilhoso.Jardins e vegetação muito bem cuidadosEstrutura impressionante e fantástica.Vale muito a pena visitar.;5.0;jul de 2022
"Eu não chamaria de jardim botânico, apenas de parque (muito parecido com o Central Park, por exemplo); contudo, é parada obrigatória em Curitiba, pois o lugar é muito lindo. O defeito foi que não tem um bom lugar para comer (a cafeteria é cara e bem fraca), e perto não tem restaurantes";5.0;jul de 2022
Gostamos! A estufa de vidro é linda, os jardins franceses também e gostamos muito do herbário! Não fizemos o Jardim das sensações! O parque é bem limpo e conservado.;4.0;jul de 2022
Muito bom! Local muito bonito e bem cuidado, jardins bem formados, estufas bem sinalizadas, local limpo, vale a visita, obrigatória em visita à Curitiba, somente senti falta de arborização, bancos e infraestrutura de banheiro. Recomendo a visita, entrada gratuita.;4.0;jul de 2022
A estufa lindissima, o corredor das 4 estações encantador.Porém nas áreas externas eu não gostei do piso grosso de cimento. Descaracterizou muito o espaço;4.0;abr de 2022
Ótima experiência no jardim, muitos tipos de plantas e animais,locais para piquenique, bonheiro e café dentro da estufa.;5.0;jul de 2022
Muita beleza nos jardins e plantas ornamentais, a galeria das quatro estações com esculturas lindas, painéis com informações sobre a flora brasileira, música ambiente... Todo gramado, com lago, lojinha e lanchonete. Lindo para fotos!!! Amei!!;5.0;jun de 2022
Um ícone em Curitiba - o jardim é lindo e cheio de oportunidades para fotos cheias de vida. Faltam banheiros mas sobra beleza, vale muito a visita.;4.0;jul de 2022
Fantastico, o Jardim Botanico é imperdivel! Nota 10! Vale muito a vista. Va com calma e tempo para andar e percorrer todo o parque. ;5.0;jul de 2022
Acho que despensa falar alguma coisa desse parque, que é o ponto mais conhecido da Cidade. Quando chegamos não tem palavras pra descrever, coisa de outro mundo!;4.0;ago de 2021
Jardim muito bonito e bem cuidadoFui bem no final da tarde e peguei uma vista linda do por do sol dentro da estufa dos sentindos ;5.0;jul de 2022
Eu amo o jardim botânico, sempre visito todos anos pois minha irmã mora em Curitiba, e não via problemas em caminhar pelo jardim, como sempre fazia, nesse dia que fui era umas 14h. Mas fui surpreendida na última vez andando perto do seu lago com dois pervertidos escondidos perto das árvores, quando olhei um deles agiu sem pudor mostrando o que não deveria. Fiquei muito assustada porque no momento não tinha um segurança local para relatar. Fiquei muito triste com a situação porque poderia ser uma criança, ou uma mulher mais distraída e poderia ter chego perto sem perceber. Gostaria muito que a segurança do parque não ficasse somente na entrada, mas em lugares estratégicos que atente pela segurança de todos que vão conhecer o cartão postal da cidade.;2.0;jun de 2022
De longe o ponto principal da cidade,lindíssimo de uma conservação impressionante,como tudo é cuidado nos mínimos detalhes ,salta aos olhos ir nesse ponto,super recomendo para famílias com crianças;5.0;jul de 2022
Todo o local com conservação e serviços impecáveis. Tudo lindo. A estufa e o Jardim das Sensações são incrívceis. vale a visita! Entrada gratuita e tem estacionamento.;5.0;jul de 2022
fazia anos que naum visitava e está muito bonito, tem poucas flores por causa da época, e tem obras, mas está bem LIMPO e cuidado!;5.0;jul de 2022
Lugar lindo, gostoso, jardim de inverno rouba toda a cena junto com todo em volta...lojinha bem bacana la dentro..com lembrancinhas, mudas de flores e plantas....muito bom;5.0;jun de 2022
Lugar para contemplar seu colorido e belíssimas flores que se espalham por todo o parque. Não deixem de visitar esta atração da encantadora Curitiba;5.0;jun de 2022
Visita ao museu das sensações é bem interessante.Vale a pena conhecer a estufa do botânico: A melhor época para visitar é junho, com as floração de amendoeiras e amores perfeitos_♥︎.;5.0;jun de 2022
Curitiba tem alguns lugares que precisam ser visitados, um bom roteiro turistico paa um fim de semana. Um desses lugares é o Jardim Botânico, um espaço muito bem cuidado e que vale pela sua forma de construção. Como dica, não pare no café externo porque dentro do Jardim Botânico há um excelente espaço para apreciar um bom café.;5.0;jun de 2022
Passeio imperdível no jardim botânico. Clássico para quem vem a Curitiba. Jardim bem cuidado. Entrada Gratuita, mas o estacionamento é pago, pela empresa que administra as vagas de estacionamento da capital.;5.0;jun de 2022
Tome um café na Cafeteria Senac Escola. Melhor cheesecake da cidade! E atendimento excelente. Lugar perfeito pra terminar a visita.;5.0;jun de 2022
Esperava mais!!!! O parque é bem grande com muitos lugares para caminhar, porém a estufa está precisando ser bem lavada, pois está velha e suja, e por dentro não tem nada de especial a não ser umas flores bem simples, e  é bem apertado pra andar, vc fica dando volta igual bobo.;3.0;jun de 2022
otimo lugar pra passear, tirar fotos, Ler em meio as arvores e conhecer pessoas. de outros lugares,também conhecer um pouco das plantas na estufa do local que tem cara de castelo da Disney;4.0;fev de 2022
